Date,AAPL-corpbond,HD-corpbond,IBM-corpbond,NKE-corpbond,AAPL-stock,HD-stock,IBM-stock,NKE-stock
10/2/2013, 93.27 , 91.77 , 99.33 , 91.52 ,110.2391689,104.2481502,91.31869499,112.8673829
10/3/2013, 93.34 , 91.98 , 99.27 , 91.53 ,108.8543208,103.6470929,90.77562281,112.4748653
10/4/2013, 93.19 , 92.04 , 99.23 , 90.95 ,108.7687631,103.5104828,90.89410901,113.2598759
10/7/2013, 93.25 , 92.39 , 98.99 , 91.42 ,109.8316191,102.622676,89.86224777,112.0038554
10/8/2013, 93.07 , 92.18 , 99.23 , 91.43 ,108.2981284,101.4479852,88.23790642,110.3397094
10/9/2013, 93.10 , 92.01 , 99.16 , 91.43 ,109.5704019,101.2704109,89.52160471,111.2973687
10/10/2013, 93.18 , 91.69 , 99.17 , 90.81 ,110.2572178,103.1417337,91.22490797,115.3009069
10/11/2013, 93.72 , 91.96 , 99.12 , 91.07 ,110.9710207,104.2481502,91.91117447,115.3323088
10/14/2013, 94.07 , 91.99 , 99.14 , 91.09 ,111.6983532,104.2891002,92.31112884,116.2742443
10/15/2013, 93.08 , 91.85 , 99.18 , 90.94 ,112.2928193,102.6909502,91.17063569,115.7247457
10/16/2013, 93.57 , 92.26 , 99.59 , 90.89 ,112.8400048,102.36314,92.19260375,116.9964934
10/17/2013, 94.26 , 92.96 , 99.54 , 92.33 ,113.6033646,103.4558691,86.31733042,117.0278671
10/18/2013, 94.14 , 93.17 , 99.61 , 92.21 ,114.5919144,102.0216566,85.79892874,119.2101661
10/21/2013, 94.03 , 92.79 , 99.42 , 92.24 ,117.3999425,101.9260439,85.34469252,119.4613667
10/22/2013, 94.32 , 93.72 , 100.03 , 93.27 ,117.0643767,102.2539031,86.38644759,119.2572671
10/23/2013, 94.08 , 93.91 , 100.02 , 93.67 ,118.2105705,102.5544128,86.78140118,118.6292936
10/24/2013, 93.95 , 93.56 , 99.71 , 93.68 ,119.7755691,104.8764574,87.7836702,118.5507733
10/25/2013, 94.16 , 93.83 , 99.69 , 93.12 ,118.4357445,104.1524648,87.31462862,118.8490749
10/28/2013, 94.19 , 93.43 , 99.72 , 93.54 ,119.3184571,103.8929778,87.56148466,118.5507733
10/29/2013, 94.48 , 93.57 , 99.74 , 93.49 ,116.3460456,105.8599244,89.91655894,119.1787923
10/30/2013, 94.36 , 93.85 , 99.62 , 93.50 ,118.1970956,106.3789836,88.94390191,119.5241808
10/31/2013, 94.07 , 93.47 , 99.57 , 93.05 ,117.7016622,106.3926568,88.47983052,118.9433084
11/1/2013, 94.31 , 92.95 , 99.60 , 92.90 ,117.1004057,105.1632939,88.48970458,119.4143288
11/4/2013, 93.80 , 93.05 , 99.56 , 92.38 ,118.6136398,105.1769797,89.0031839,119.9009992
11/5/2013, 93.46 , 92.87 , 99.39 , 91.13 ,118.3209076,104.6988957,87.80835025,121.2040681
11/6/2013, 93.53 , 92.23 , 99.55 , 91.18 ,117.9856508,104.3847002,88.94503034,120.513277
11/7/2013, 93.80 , 92.18 , 99.70 , 91.95 ,116.0763126,103.3875712,89.34710513,118.8490749
11/8/2013, 92.90 , 91.25 , 99.39 , 90.35 ,117.9041337,103.1007473,89.34214388,121.0784888
11/11/2013, 92.57 , 91.28 , 99.43 , 90.37 ,117.5621147,102.9504862,90.77664477,121.1413065
